Filename,Decade,Total number of faces,Is a face present?
JDG-1836-06-04-a-p0002.jpg,1830,0,0
JDG-1907-10-19-a-p0002.jpg,1900,0,0
JDG-1985-06-20-a-p0017.jpg,1980,0,0
JDG-1943-02-13-a-p0010.jpg,1940,0,0
JDG-1925-09-01-a-p0001.jpg,1920,0,0
JDG-1965-01-16-a-p0005.jpg,1960,0,0
JDG-1905-01-15-a-p0001.jpg,1900,0,0
JDG-1955-02-22-a-p0009.jpg,1950,2,1
JDG-1988-12-16-a-p0027.jpg,1980,0,0
JDG-1857-06-17-a-p0001.jpg,1850,0,0
JDG-1990-07-24-a-p0004.jpg,1990,0,0
JDG-1965-11-10-a-p0010.jpg,1960,0,0
JDG-1902-04-18-a-p0001.jpg,1900,0,0
JDG-1973-03-09-a-p0001.jpg,1970,2,1
JDG-1960-04-04-a-p0010.jpg,1960,0,0
JDG-1958-12-11-a-p0004.jpg,1950,0,0
JDG-1865-11-10-a-p0004.jpg,1860,0,0
JDG-1847-10-19-a-p0005.jpg,1840,0,0
JDG-1985-06-20-a-p0006.jpg,1980,0,0
JDG-1963-09-23-a-p0003.jpg,1960,0,0
JDG-1940-02-13-a-p0005.jpg,1940,0,0
JDG-1948-08-05-a-p0005.jpg,1940,0,0
JDG-1998-01-21-a-p0029.jpg,1990,0,0
JDG-1983-05-20-a-p0009.jpg,1980,0,0
JDG-1995-08-16-a-p0016.jpg,1990,0,0
JDG-1963-03-29-a-p0010.jpg,1960,0,0
JDG-1993-04-14-a-p0017.jpg,1990,0,0
JDG-1978-12-28-a-p0004.jpg,1970,0,0
JDG-1902-04-18-a-p0002.jpg,1900,0,0
JDG-1993-05-19-a-p0016.jpg,1990,0,0
JDG-1930-10-08-a-p0003.jpg,1930,1,1
JDG-1985-01-22-a-p0015.jpg,1980,1,1
JDG-1990-06-14-a-p0007.jpg,1990,1,1
JDG-1970-08-18-a-p0005.jpg,1970,0,0
JDG-1965-01-16-a-p0011.jpg,1960,0,0
JDG-1865-10-26-a-p0003.jpg,1860,0,0
JDG-1925-09-01-a-p0002.jpg,1920,0,0
JDG-1968-05-09-a-p0016.jpg,1960,0,0
JDG-1973-03-09-a-p0016.jpg,1970,0,0
JDG-1985-04-27-a-p0016.jpg,1980,0,0
JDG-1990-06-14-a-p0020.jpg,1990,0,0
JDG-1978-12-28-a-p0009.jpg,1970,0,0
JDG-1948-04-17-a-p0009.jpg,1940,0,0
JDG-1958-07-25-a-p0004.jpg,1950,0,0
JDG-1948-04-17-a-p0005.jpg,1940,2,1
JDG-1993-04-14-a-p0001.jpg,1990,2,1
JDG-1980-12-01-a-p0009.jpg,1980,0,0
JDG-1920-08-17-a-p0008.jpg,1920,0,0
JDG-1990-06-14-a-p0021.jpg,1990,0,0
JDG-1968-08-29-a-p0005.jpg,1960,0,0
JDG-1831-12-01-a-p0004.jpg,1830,0,0
JDG-1995-01-17-a-p0033.jpg,1990,1,1
JDG-1855-06-05-a-p0003.jpg,1850,0,0
JDG-1985-01-22-a-p0009.jpg,1980,0,0
JDG-1862-06-26-a-p0002.jpg,1860,0,0
JDG-1865-10-26-a-p0001.jpg,1860,0,0
JDG-1862-10-18-a-p0001.jpg,1860,0,0
JDG-1912-01-13-a-p0005.jpg,1910,0,0
JDG-1905-08-09-a-p0002.jpg,1900,0,0
JDG-1990-07-24-a-p0017.jpg,1990,2,1
JDG-1973-09-24-a-p0008.jpg,1970,0,0
JDG-1988-07-08-a-p0001.jpg,1980,1,1
JDG-1988-07-08-a-p0025.jpg,1980,0,0
JDG-1867-11-23-a-p0002.jpg,1860,1,1
JDG-1885-09-03-a-p0004.jpg,1880,0,0
JDG-1998-02-27-a-p0011.jpg,1990,0,0
JDG-1998-02-27-a-p0021.jpg,1990,0,0
JDG-1990-10-25-a-p0023.jpg,1990,1,1
JDG-1993-04-14-a-p0025.jpg,1990,1,1
JDG-1870-07-01-a-p0003.jpg,1870,0,0
JDG-1948-04-17-a-p0003.jpg,1940,0,0
JDG-1935-04-10-a-p0003.jpg,1930,0,0
JDG-1845-10-03-a-p0004.jpg,1840,1,1
JDG-1968-08-29-a-p0012.jpg,1960,0,0
JDG-1938-05-19-a-p0004.jpg,1930,0,0
JDG-1953-10-12-a-p0010.jpg,1950,0,0
JDG-1983-09-13-a-p0001.jpg,1980,1,1
JDG-1852-11-26-a-p0004.jpg,1850,0,0
JDG-1995-08-16-a-p0002.jpg,1990,1,1
JDG-1928-06-13-a-p0001.jpg,1920,0,0
JDG-1834-02-08-a-p0002.jpg,1830,0,0
JDG-1998-01-23-a-p0035.jpg,1990,1,1
JDG-1938-05-19-a-p0005.jpg,1930,0,0
JDG-1990-10-25-a-p0009.jpg,1990,0,0
JDG-1983-02-08-a-p0013.jpg,1980,0,0
JDG-1963-08-26-a-p0005.jpg,1960,0,0
JDG-1963-03-29-a-p0016.jpg,1960,1,1
JDG-1831-12-01-a-p0002.jpg,1830,0,0
JDG-1940-02-13-a-p0001.jpg,1940,0,0
JDG-1993-12-16-a-p0007.jpg,1990,0,0
JDG-1985-06-20-a-p0005.jpg,1980,3,1
JDG-1970-12-09-a-p0012.jpg,1970,0,0
JDG-1860-10-08-a-p0002.jpg,1860,0,0
JDG-1920-05-23-a-p0006.jpg,1920,0,0
JDG-1958-07-25-a-p0002.jpg,1950,0,0
JDG-1935-10-10-a-p0003.jpg,1930,1,1
JDG-1995-01-17-a-p0030.jpg,1990,0,0
JDG-1850-04-30-a-p0002.jpg,1850,0,0
JDG-1900-08-08-a-p0001.jpg,1900,0,0
JDG-1953-11-16-a-p0001.jpg,1950,0,0
JDG-1857-06-17-a-p0004.jpg,1850,0,0
JDG-1905-01-15-a-p0002.jpg,1900,0,0
JDG-1968-08-29-a-p0013.jpg,1960,2,1
JDG-1998-01-21-a-p0012.jpg,1990,0,0
JDG-1988-07-19-a-p0024.jpg,1980,0,0
JDG-1973-03-09-a-p0015.jpg,1970,0,0
JDG-1965-01-16-a-p0002.jpg,1960,0,0
JDG-1988-07-19-a-p0017.jpg,1980,0,0
JDG-1905-10-06-a-p0002.jpg,1900,0,0
JDG-1980-12-01-a-p0001.jpg,1980,1,1
JDG-1973-03-09-a-p0017.jpg,1970,1,1
JDG-1998-01-23-a-p0034.jpg,1990,3,1
JDG-1933-11-06-a-p0006.jpg,1930,0,0
JDG-1960-05-04-a-p0006.jpg,1960,0,0
JDG-1930-03-19-a-p0008.jpg,1930,3,1
JDG-1938-05-19-a-p0002.jpg,1930,0,0
JDG-1892-12-27-a-p0001.jpg,1890,0,0
JDG-1988-12-16-a-p0013.jpg,1980,0,0
JDG-1877-04-16-a-p0002.jpg,1870,0,0
JDG-1855-07-14-a-p0003.jpg,1850,0,0
JDG-1958-07-25-a-p0001.jpg,1950,0,0
JDG-1870-04-21-a-p0003.jpg,1870,1,1
JDG-1993-04-14-a-p0024.jpg,1990,0,0
JDG-1970-12-09-a-p0018.jpg,1970,0,0
JDG-1968-08-29-a-p0007.jpg,1960,0,0
JDG-1968-08-29-a-p0011.jpg,1960,0,0
JDG-1990-06-14-a-p0026.jpg,1990,0,0
JDG-1943-02-13-a-p0001.jpg,1940,1,1
JDG-1910-08-17-a-p0002.jpg,1910,0,0
JDG-1905-08-09-a-p0003.jpg,1900,0,0
JDG-1955-02-22-a-p0002.jpg,1950,0,0
JDG-1955-09-26-a-p0009.jpg,1950,0,0
JDG-1829-04-16-a-p0003.jpg,1820,0,0
JDG-1930-03-19-a-p0004.jpg,1930,0,0
JDG-1923-05-18-a-p0008.jpg,1920,1,1
JDG-1988-12-16-a-p0002.jpg,1980,0,0
JDG-1925-07-10-a-p0010.jpg,1920,0,0
JDG-1993-12-16-a-p0040.jpg,1990,0,0
JDG-1978-01-16-a-p0007.jpg,1970,0,0
JDG-1948-09-27-a-p0008.jpg,1940,0,0
JDG-1847-10-19-a-p0001.jpg,1840,0,0
JDG-1993-12-16-a-p0004.jpg,1990,0,0
JDG-1968-08-29-a-p0006.jpg,1960,0,0
JDG-1862-06-07-a-p0004.jpg,1860,0,0
JDG-1887-05-01-a-p0001.jpg,1880,0,0
JDG-1988-07-08-a-p0023.jpg,1980,0,0
JDG-1950-10-26-a-p0001.jpg,1950,1,1
JDG-1907-01-12-a-p0002.jpg,1900,0,0
JDG-1865-06-14-a-p0004.jpg,1860,0,0
JDG-1955-07-29-a-p0006.jpg,1950,0,0
JDG-1973-03-09-a-p0009.jpg,1970,0,0
JDG-1980-12-01-a-p0027.jpg,1980,0,0
JDG-1990-07-24-a-p0015.jpg,1990,0,0
JDG-1998-02-27-a-p0038.jpg,1990,2,1
JDG-1970-12-09-a-p0016.jpg,1970,0,0
JDG-1998-01-23-a-p0009.jpg,1990,0,0
JDG-1920-08-17-a-p0006.jpg,1920,0,0
JDG-1834-06-14-a-p0001.jpg,1830,0,0
JDG-1935-06-30-a-p0005.jpg,1930,1,1
JDG-1975-01-08-a-p0010.jpg,1970,1,1
JDG-1990-10-25-a-p0025.jpg,1990,1,1
JDG-1960-04-19-a-p0004.jpg,1960,0,0
JDG-1880-07-21-a-p0004.jpg,1880,0,0
JDG-1862-06-07-a-p0003.jpg,1860,0,0
JDG-1953-03-27-a-p0005.jpg,1950,1,1
JDG-1923-05-18-a-p0005.jpg,1920,0,0
JDG-1867-06-11-a-p0003.jpg,1860,0,0
JDG-1834-02-08-a-p0006.jpg,1830,1,1
JDG-1925-07-10-a-p0009.jpg,1920,0,0
JDG-1978-12-28-a-p0014.jpg,1970,0,0
JDG-1940-02-13-a-p0006.jpg,1940,0,0
JDG-1978-12-07-a-p0012.jpg,1970,0,0
JDG-1852-11-26-a-p0002.jpg,1850,0,0
JDG-1943-11-16-a-p0003.jpg,1940,0,0
JDG-1995-01-17-a-p0026.jpg,1990,0,0
JDG-1970-08-15-a-p0009.jpg,1970,0,0
JDG-1998-01-21-a-p0006.jpg,1990,0,0
JDG-1902-08-08-a-p0001.jpg,1900,0,0
JDG-1985-06-20-a-p0011.jpg,1980,2,1
JDG-1990-10-25-a-p0027.jpg,1990,0,0
